Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST|10.10.2011;;
;;
;SN: 2100461545;SN: 2120032884
;SB 4000TL-20   ;SB 2500HF-30   
;2100461545;2120032884
time;Power;Power
HH:mm;kW;kW
00:00;0;0
00:10;0;0
00:20;0;0
00:30;0;0
00:40;0;0
00:50;0;0
01:00;0;0
01:10;0;0
01:20;0;0
01:30;0;0
01:40;0;0
01:50;0;0
02:00;0;0
02:10;0;0
02:20;0;0
02:30;0;0
02:40;0;0
02:50;0;0
03:00;0;0
03:10;0;0
03:20;0;0
03:30;0;0
03:40;0;0
03:50;0;0
04:00;0;0
04:10;0;0
04:20;0;0
04:30;0;0
04:40;0;0
04:50;0;0
05:00;0;0
05:10;0;0
05:20;0;0
05:30;0;0
05:40;0;0
05:50;0;0
06:00;0;0
06:10;0;0
06:20;0;0
06:30;0;0
06:40;0;0
06:50;0;0
07:00;0;0
07:10;0;0
07:20;0;0
07:30;0;0
07:40;0;0
07:50;0;0
08:00;0;0
08:10;0;0
08:20;0;0
08:30;0;0
08:40;0;0
08:50;0,006;0
09:00;0,03;0
09:10;0,054;0,048
09:20;0,12;0,09
09:30;0,18;0,132
09:40;0,222;0,126
09:50;0,186;0,09
10:00;0,132;0,072
10:10;0,138;0,108
10:20;0,222;0,15
10:30;0,27;0,186
10:40;0,33;0,222
10:50;0,396;0,27
11:00;0,414;0,216
11:10;0,33;0,174
11:20;0,288;0,18
11:30;0,402;0,354
11:40;0,678;0,546
11:50;1,152;0,696
12:00;1,146;0,552
12:10;1,2;0,714
12:20;1,536;0,918
12:30;2,094;0,87
12:40;1,554;0,738
12:50;1,854;0,672
13:00;1,944;0,846
13:10;2,22;0,87
13:20;1,962;0,66
13:30;1,686;0,714
13:40;2,862;0,564
13:50;2,49;0,594
14:00;2,082;0,576
14:10;2,172;0,924
14:20;2,748;1,194
14:30;2,538;1,17
14:40;2,514;0,732
14:50;1,632;0,81
15:00;2,904;0,774
15:10;1,17;0,564
15:20;0,942;0,588
15:30;2,058;0,588
15:40;2,202;0,78
15:50;2,43;0,612
16:00;1,722;0,684
16:10;1,824;0,672
16:20;1,08;0,474
16:30;1,254;1,128
16:40;1,668;0,93
16:50;1,362;0,66
17:00;0,978;0,6
17:10;0,792;0,468
17:20;0,486;0,252
17:30;0,42;0,282
17:40;0,42;0,204
17:50;0,282;0,162
18:00;0,246;0,126
18:10;0,204;0,114
18:20;0,144;0,036
18:30;0,048;0,006
18:40;0,012;0
18:50;0;0
19:00;0;0
19:10;0;0
19:20;0;0
19:30;0;0
19:40;0;0
19:50;0;0
20:00;0;0
20:10;0;0
20:20;0;0
20:30;0;0
20:40;0;0
20:50;0;0
21:00;0;0
21:10;0;0
21:20;0;0
21:30;0;0
21:40;0;0
21:50;0;0
22:00;0;0
22:10;0;0
22:20;0;0
22:30;0;0
22:40;0;0
22:50;0;0
23:00;0;0
23:10;0;0
23:20;0;0
23:30;0;0
23:40;0;0
23:50;0;0
;;
;;
E-Today kWh;11,072;4,747
E-Total kWh;780,596;480,487
